Name	Set	ImageFile	Cost	ATK	HP	DEF	Class	Type	Text	Color	Script
Maria’s Assistant, Sara	Episode Oracle	EPO-029.png	3	2	4		Hunter	Character / Human	On Play: You may choose 2 cards from your Trash and remove them. If you do, this character gets +2 ATK until it leaves the field.	Red	/c90
Mysterious Investigator, Sara	Episode Oracle	EPO-030.png	4	2	6		Hunter	Character / Human	Main, Turn 1 of your [ON] characters to [OFF]: Draw a card. This character gets +2 ATK while “Xiao” or “Claris Claes” is on your field.	Red	/c90
Darker Explosion, Claris Claes	Episode Oracle	EPO-031.png	7	4	7		Force	Character / Human / Council of Six	All of your other <Force> characters get +1/+1. When you play a <Technique>: Choose a <Force> character from your Trash with cost less or equal to the <Technique> you played, and put it onto your field. This ability can only be activated once per turn.	Yellow	/c90
Fifth of The Council of Six, Claris Claes	Episode Oracle	EPO-032.png	5	6	3		Force	Character / Human / Council of Six	Main, Turn 1 of your [ON] characters to [OFF]: Deal 1 damage to all of your opponent’s characters. This character gets +2 HP if “Huey” or “Sara” is on your field.	Yellow	/c90
Xion	Episode Oracle	EPO-033.png	3	0	7			Character	On Play / [ON] -> [OFF]: You may choose a character on your field and return it to your hand. If a cost 4 or more PP character is returned with this effect, draw a card.	White	/c90
Obsession with All Knowledge, Luther	Episode Oracle	EPO-034.png	5	4	5			Character / Newman / Photoner	On Play: During the next turn, the cost of your opponent playing cards is increased by 1 PP. On Play: If you have a “Xion” on your fieldm or if your opponent has 10 or more cards removed, choose 1 of your opponent’s character, item, or active and remove it.	White	/c90
Emergency Order, Casra	Episode Oracle	EPO-035.png	4	2	2		Techer	Character / Newman / Council of Six	Pay 4 YELLOW PP: Put this card onto your field. Activate this ability only if this card is in your hand. On Play: During your opponent’s turn, choose 1 of your opponent’s character card that is being played and destroy it. Then, your opponent may turn [ON] their PP up to the same number as the cost of the card destroyed by this effect.	Yellow	/c90
Chasing The Runaway Dragon, Quna	Episode Oracle	EPO-036.png	4	4	5		Fighter	Character / Human / Council of Six	This character gets +3/+2 while <Dragon> is on your opponent’s field or “Hadred” is on your field.	Red	/c90
Hadred	Episode Oracle	EPO-037.png	11	8	8			Character / Artificial Dragon / Dragon	When playing this card, you may destroy any number of your characters. If you do, the cost of playing this card for each destroyed character is reduced by 2. At the beginning of your turn: If you have a “Quna” on your field, choose a “Quna” or <Song> card from your Trash and return it to your hand. You can only play 1 “Hadred” onto the field.	White	/c90
Zieg	Episode Oracle	EPO-038.png	2	0	1			Character / CAST	On Play: Search your deck for a <Genesis> card and add it to your hand. Shuffle your deck. While this character is on your field, your equipped <Weapon> gets +1 ATK.	White	/c90
[Giant] (Elder)	Episode Oracle	EPO-039.png	6	8	6			Character / Dark Falz	[Penetration 3] (When this character destroys an opponent’s character: Deal 3 damage to the opponent’s Player). On Play: Choose up to 1 character each in your opponent’s front and back row. The character in the front row is moved to the back row, and then the character in the back row is destroyed. Rule: This card is also treated as “Dark Falz [Elder]” in the game.	Black	/c90
[Mask] (Persona)	Episode Oracle	EPO-040.png	4	4	3			Character / Dark Falz	[Raid] (When this character is played, it will be played as ON). When this card is destroyed: Return this card to your deck and shuffle it. Rule: This card is also treated as “Dark Falz [Persona]” in the game.	Black	
Skilled Warrior Zeno	Episode Oracle	EPO-041.png	6	4	7		Hunter	Character / Human	[War Cry] ON -> OFF: When a character is attacked change attack target to this card instead. On Play: Choose up to 2 <Weapon> Or <Armor> cards from your Trash and add any number to your hand and then put the rest on the bottom of your deck in any order. At the end of the turn this character was played: Change it to ON.	Red	/c90
Explorer Afin	Episode Oracle	EPO-042.png	5	4	4		Ranger	Character / Newman	On Play: Deal 5 Damage to an enemy character with cost 3 PP or less. At the end of your turn: Look at the top 3 cards of your deck. Reveal one blue character card add it to your hand and put the rest to the bottom of your deck in any order.	Blue	/c90
The Hatred Fighter Gettemhart	Episode Oracle	EPO-043.png	7	7	6		Fighter	Character / Human	[Penetration 3] (When this character attack destroys an opponent’s character, deal 3 damage to your opponent’s Player). On Play: Destroy all of your opponent’s <Weapon> and <Armor>. Choose one “Melphonsina” from your Trash and put it into your field.	Red	/c90
Information Broker Twin Patty	Episode Oracle	EPO-044.png	5	4	3		Hunter	Character / Newman	On Play: If you do not have “Tea” on your field you may put one “Tea” from your hand onto the field or search your deck for up to 1 “Tea” and add it to your hand. At the end of your turn: Reveal the top card of your deck, if that card’s cost is 3 PP or less, choose 1 of your opponent’s characters and deal 3 damage to it. This card gets +1/+1 while you control a “Tea”.	Red	/c90
Information Broker Twin Tea	Episode Oracle	EPO-045.png	5	3	4		Force	Character / Newman	On Play: If you do not have “Patty” on your field you may put one “Patty” from your hand or search your deck for up to 1 “Patty” and add it to your hand. On Play: Look at 3 cards from the top of your deck, choose any number of them and put them on the top of your deck in any order and put the rest on the bottom of your deck. This card gets +1/+1 while you control a “Patty”.	Yellow	/c90
