Name	Set	ImageFile	Cost	ATK	HP	DEF	Class	Type	Text	Color	Script
Beelaf	Vol1-1	1-052.png	5	4	4		Techer	Character/Human	On Play: Choose one of your characters and it gets +2/+1 during this turn. On Play: If you are the 2nd player, [Recovery 2]: Choose up to 2 cards other than [Recovery] from your Trash and shuffle it back into your deck or Choose 1 of your character, shuffle it back into your deck, choose a character and remove the receiving damage, move that card to the front row if it is in the back row.	Yellow	/cr90
Melphonsina	Vol1-1	1-053.png	3	3	2		Techer	Character/Newman	[Drop] (Activated when you place this card into Trash from deck during your opponent's turn): You may add this to your hand, if you do, discard a card.	Yellow	/cr90
Barbara	Vol1-1	1-054.png	3	2	3		Techer	Character/CAST	On Play: Choose one of your characters and it gets +1/+1 during this turn.	Yellow	/cr90
Girl Who Lost Her Past Matoi	Vol1-1	1-055.png	1	0	4			Character/Human	ON -> OFF, Pay 3 PP: Choose a <Technique> card from your Trash and add it to your hand.	White	/cr90
Koffie	Vol1-1	1-056.png	2	0	2			Character/Human/Admin/Staff	On Play / ON -> OFF: Choose up to one Item with cost 3 PP or less from your Trash and add it to your hand. This card cannot attack.	White	/cr90
Philia	Vol1-1	1-057.png	2	0	2			Character/Human/Admin/Staff	On Play / ON -> OFF: Choose up to one of your characters other than “Philla” with cost 3 PP or less from your Trash and add it to your hand. This card cannot attack.	White	/cr90
Observer Xion	Vol1-1	1-058.png	2	0	6			Character	On Play / ON -> OFF: Choose one card from your hand and put it to the bottom of your deck, if you do, draw one card. This card cannot attack.	White	/cr90
Imperial Pick	Vol1-1	1-059.png	6	4			Hunter	Item/Weapon/Partizan	On Play: Choose one of your opponent’s character and turn it to OFF. This equipment gets [Penetration 4]. (If the equipped character destroys an enemy by attacking, deal 4 damage to the enemy player)	Red	
SSPN Launcher	Vol1-1	1-060.png	5	2			Ranger	Item/Weapon/Launcher	The Equipped character gains [Sniper] (The character does not receive combat damage during attack). Main - Pay 2 PP: During this turn, this weapon gains +1 ATK.	Blue	
Motav Prophecy	Vol1-1	1-061.png	4	2			Force/Techer	Item/Weapon/Talis	<Technique> cards cost 1 less to play. They can not cost less than 0. Damage dealt by <Technique> cards is increased by 1.	Yellow	
Ardillo	Vol1-1	1-062.png	4	2			Hunter	Item/Weapon/Sword	On Play: During this turn this weapon gains +2 ATK.	Red	
Tigredor	Vol1-1	1-063.png	4	2			Ranger/Gunner	Item/Weapon/Rifle	On Play: Your opponent discards a card. When your opponent discards a card by one of your effects: Choose one of your opponents and deal 1 damage.	Blue	
Garland	Vol1-1	1-064.png	4	2			Force	Item/Weapon/Rod	On Play / When this card is destroyed: Choose one of your opponent’s characters and deal 2 damage.	Yellow	
Vita Lance	Vol1-1	1-065.png	3	2			Hunter	Item/Weapon/Wired Lancer	Rule: When you turn this card OFF, the equipped character gains the stats of this card.	Red	
Vita Rifle	Vol1-1	1-066.png	3	1			Ranger/Gunner	Item/Weapon/Rifle	When this weapon is turned OFF: Choose 1 of your opponent’s Player and deal 1 damage. Rule: By turning OFF the weapon you can add the attack power of the equipment onto the equipped character.	Blue	
Vita Talis	Vol1-1	1-067.png	2	1			Force/Techer	Item/Weapon/Talis	On Play (Activated when this card comes into play): Deal 1 damage to all of your opponent’s characters. Rule: By turning OFF the weapon you can add the attack power of the equipment onto the equipped character.	Yellow	
Vita Slash	Vol1-1	1-068.png	2	1			ALL	Item/Weapon/Gunslash	[Drop] (Activated when you place this card into Trash from deck during your opponent's turn): You may equip this to one of your characters or player. Rule: By turning OFF the weapon you can add the attack power of the equipment onto the equipped character.	White	
Hera	Vol1-1	1-069.png	3			1	ALL	Item/Armor	This equipment gets +1 ATK during your turn. Rule: By turning OFF the armor you can add the defense power of the equipment onto the equipped character.	Red	
Bloom	Vol1-1	1-070.png	2			1	ALL	Item/Armor	On Play: [Recovery 1]: Choose up to 1 card other than [Recovery] from your Trash and shuffle it back into your deck or Choose 1 of your characters and remove the receiving damage, move that card to the front row if it is in the back row.	Yellow	
Calvaria	Vol1-1	1-071.png	1			1	ALL	Item/Armor	This armor can reduce 1 damage if you are being attacked by your opponent’s player. Rule: By turning OFF the armor you can add the defense power of the equipment onto the equipped character.	Blue	
Circu	Vol1-1	1-072.png	2			1	ALL	Item/Armor	[Drop] (Activated when you place this card into Trash from deck during your opponent's turn): You may equip this to one of your characters or player. Rule: By turning OFF the armor you can add the defense power of the equipment onto the equipped character.	White	
Star Atomizer	Vol1-1	1-073.png	4				ALL	Item	Main - Destroy this item. -> Choose one: (1) Select any number of cards given to your side on the field and destroy them. (2) [Recovery 4]: Choose up to 4 cards other than [Recovery] from your Trash and shuffle it back into your deck or Choose 1 of your characters, remove the receiving damage and move that character to the front row if it is in the back row.	White	
Monomate	Vol1-1	1-074.png	1				ALL	Item	Main - Destroy this item. -> [Recovery 2]: Choose up to 2 cards other than [Recovery] from your Trash and shuffle it back into your deck or Choose 1 of your characters, remove the receiving damage and move that character to the front row if it is in the back row.	White	
Overend	Vol1-1	1-075.png	7				Hunter	Active/PA/Sword	Main - Choose up to 3 of your opponent’s OFF characters of cost 6 PP or less and destroy them.	Red	
Slide End	Vol1-1	1-076.png	4				Hunter	Active/PA/Partizan	Main - Deal 3 damage to all of your opponent’s OFF characters.	Red	
Holding Current	Vol1-1	1-077.png	X				Hunter	Active/PA/Wired Lance	Main - Choose one of your opponent’s OFF character and deal X damage. (X is equal to how much PP is used to activate this).	Red	
Stun Concido	Vol1-1	1-078.png	3				Hunter	Active/PA/Sword	Choose 1 of your opponent’s character, turn it OFF and it does not get turned ON during the next turn.	Red	
Speed Rain	Vol1-1	1-079.png	2				Hunter	Active/PA/Partizan	Main - Choose 1 of your opponent’s OFF character and deal 4 damage.	Red	
War Cry	Vol1-1	1-080.png	1				Hunter	Active/Skill/Grant	Equip this card to a <Hunter> character. The equipped character gets War Cry. [War Cry] ON -> OFF: When a character is attacked change attack target to this card instead.	Red	
Fury Stance	Vol1-1	1-081.png	1				Hunter	Active/Stance/Grant	Main - Equip this card to a <Hunter> character. The damage the equipped character gives and takes is increased by 2. (0 can’t be 2). Rule: You may only equip one stance per character.	Red	
Divine Launcher	Vol1-1	1-082.png	7				Ranger	Active/PA/Launcher	Main - Choose your opponent’s back row or front row and deal 5 damage to all of your opponent’s characters in that row.	Blue	
Rodeo Drive	Vol1-1	1-083.png	2				Ranger	Active/PA/Launcher	Main - Deal 1 damage to all of your opponent’s characters. Choose 1 of your <Ranger> and turn it ON.	Blue	
Sneak Shooter	Vol1-1	1-084.png	5				Ranger/Gunner	Active/PA/Rifle	Choose 1 of your opponent’s character and destroy it.	Blue	
Homing Emission	Vol1-1	1-085.png	X				Ranger/Gunner	Active/PA/Rifle	Main - Choose X of your opponent’s characters in the back row and deal 3 damage to them. (X is equal to how much PP is used to activate this).	Blue	
Cluster Bullet	Vol1-1	1-086.png	2				Ranger	Active/PA/Rifle	Main - Choose one of your <Ranger>, if it deals damage to a character that your opponent controls, it deals the same amount of damage to all other of your opponent’s characters.	Blue	
Stun Grenade	Vol1-1	1-087.png	3				Ranger	Active/Skill	Choose 2 of your opponent’s characters and turn them OFF.	Blue	
Poison Trap	Vol1-1	1-088.png	2				Ranger	Active/Skill/Grant	[Drop] (Activated when you place this card into Trash from deck during your opponent's turn): You may pay 2 PP, if you do, equip this to one of your opponent’s characters. Equip this to an attacking opponent character. At the start of your opponent’s turn: Deal 2 damage to the equipped character.	Blue	
Upper Trap	Vol1-1	1-089.png	3				Ranger	Active/Skill	[Drop] (Activated when you place this card into Trash from deck during your opponent's turn): You may 2 PP, if you do, choose one of your opponent’s characters and return it to their hand. Choose one of your opponent’s characters that you are attacking and return it to their hand.	Blue	
Freeze Ignition	Vol1-1	1-090.png	1				Force	Active/Skill	Deal 5 damage to all of your opponent’s frozen characters.	Yellow	
Mirage Escape	Vol1-1	1-091.png	1				Force/Techer/Summoner	Active/Skill	During this turn the next damage your Player will take will be 0.	Yellow	
Photon Flare	Vol1-1	1-092.png	0				Force	Active/Skill/Grant	Equip this card to your Player. Increase damage dealt by <Technique> by 1. Only one “Photon Flare” can be equipped to the player.	Yellow	
Na Barta	Vol1-1	1-093.png	5				Force/Techer/Bouncer/Summoner	Active/Skill	All of your opponent’s characters cannot attack this turn (Freeze).	White	
Resta	Vol1-1	1-094.png	1				Force/Techer/Bouncer/Summoner	Active/Technique	[Recovery 2]: Choose up to 2 cards other than [Recovery] from your Trash and shuffle it back into your deck or Choose 1 of your characters, remove the receiving damage and move that card to the front row if it is in the back row.	White	
Foie	Vol1-1	1-095.png	4				Force/Techer/Bouncer/Summoner	Active/Technique	Choose 1 of your opponent’s characters and deal 4 damage to it.	White	
Barta	Vol1-1	1-096.png	1				Force/Techer/Bouncer/Summoner	Active/Technique	Choose one of your opponent’s characters and freeze it. (Cannot attack). Draw a card.	White	
Megid	Vol1-1	1-097.png	2				Force/Techer/Bouncer/Summoner	Active/Technique/Grant	Main - Equip this to one of your opponent’s characters. At the start of the opponent’s turn: Deal 1 damage to the equipped character.	White	
Kreisenschlag	Vol1-1	1-098.png	6				ALL	Active/PA/Gunslash	Main - Choose 1 of your opponent’s characters and destroy it.	White	
Tri Impact	Vol1-1	1-099.png	3				ALL	Active/PA/Gunslash	Choose 1 of your opponent’s characters and deal 3 damage to it.	White	
HP Up	Vol1-1	1-100.png	1				ALL	Active/Grant	Choose 1 of your characters and during this turn it gets +2 HP.	White	
